"New Analysis Project","=HYPERLINK(""https://solarwinds.mwenergy.com/ui/perfstack/?presetTime=last5Days&charts=0_Orion.NPM.Interfaces_3634-Orion.NPM.InterfaceTraffic.InAveragebps,0_Orion.NPM.Interfaces_3634-Orion.NPM.InterfaceTraffic.OutAveragebps;"")"
Start,2023-09-27 15:55:12,End,2023-10-02 15:55:12

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 16:25:12,46010612,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 16:25:12,90900580,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 16:55:12,43272924,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 16:55:12,94000861.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 17:25:12,50247664.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 17:25:12,81520744,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 17:55:12,24556693.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 17:55:12,125854339,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 18:25:12,21590842.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 18:25:12,64854242.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 18:55:12,16991151.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 18:55:12,59881740,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 19:25:12,18046378.75,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 19:25:12,53327955,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 19:55:12,16906667,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 19:55:12,38263213.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 20:25:12,16678304.666666666,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 20:25:12,34830418,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 20:55:12,20788536.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 20:55:12,36894583,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 21:25:12,21449576,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 21:25:12,34628759.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 21:55:12,22460244,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 21:55:12,32923556.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 22:25:12,21491841.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 22:25:12,38324613,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 22:55:12,19974228.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 22:55:12,32486825.333333332,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 23:25:12,20649700,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 23:25:12,37168438,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-27 23:55:12,22430819.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-27 23:55:12,31911534,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 00:25:12,26162509.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 00:25:12,38794498.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 00:55:12,20064987.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 00:55:12,34108554.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 01:25:12,20530996,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 01:25:12,33988233.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 01:55:12,22793383.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 01:55:12,31897317.333333332,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 02:25:12,21426559.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 02:25:12,32970149.333333332,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 02:55:12,23093275,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 02:55:12,31526440.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 03:25:12,19912822,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 03:25:12,32368252,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 03:55:12,22634717.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 03:55:12,31707732,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 04:25:12,21035538.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 04:25:12,33157496,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 04:55:12,20713902.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 04:55:12,32179873.333333332,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 05:25:12,22263688,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 05:25:12,32922746,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 05:55:12,22791993.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 05:55:12,31845487,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 06:25:12,21386820,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 06:25:12,35884434.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 06:55:12,19642032.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 06:55:12,31718260.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 07:25:12,18116787.25,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 07:25:12,40728105,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 07:55:12,20859436.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 07:55:12,59252732,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 08:25:12,31171751.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 08:25:12,122692018.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 08:55:12,28852919.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 08:55:12,82511552,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 09:25:12,29664661.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 09:25:12,82614864,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 09:55:12,28784109.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 09:55:12,83366208,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 10:25:12,32317390,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 10:25:12,82096160,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 10:55:12,43642695.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 10:55:12,85449146.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 11:25:12,44033529.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 11:25:12,96105445.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 11:55:12,44652980,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 11:55:12,95065266,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 12:25:12,38596858.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 12:25:12,109809522.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 12:55:12,41506532,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 12:55:12,116856672,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 13:25:12,44927034,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 13:25:12,136225984,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 13:55:12,48685893.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 13:55:12,137242717.33333334,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 14:25:12,45065224,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 14:25:12,151178453.33333334,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 14:55:12,43456625,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 14:55:12,150147610,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 15:25:12,46746566.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 15:25:12,156306490.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 15:55:12,44052254.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 15:55:12,146744720,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 16:25:12,43970781,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 16:25:12,139818934,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 16:55:12,39719162.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 16:55:12,132349336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 17:25:12,30112784,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 17:25:12,122495938.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 17:55:12,31833993,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 17:55:12,156877594,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 18:25:12,27288028.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 18:25:12,112063053.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 18:55:12,22970144.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 18:55:12,92880482.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 19:25:12,17682132,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 19:25:12,68677251,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 19:55:12,15766948,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 19:55:12,40676446.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 20:25:12,19400424.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 20:25:12,38783116.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 20:55:12,22169167.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 20:55:12,34612569,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 21:25:12,21721325.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 21:25:12,41207437.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 21:55:12,21715712,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 21:55:12,32830050.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 22:25:12,22718258.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 22:25:12,34792520.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 22:55:12,20401539.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 22:55:12,32899360,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 23:25:12,22308174.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 23:25:12,34652171.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-28 23:55:12,22597926.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-28 23:55:12,34175220.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 00:25:12,23466643.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 00:25:12,39164534.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 00:55:12,22498994.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 00:55:12,33681231.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 01:25:12,21565504,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 01:25:12,34669529.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 01:55:12,21767870,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 01:55:12,33812053.333333336,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 02:25:12,23619780.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 02:25:12,42223790.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 02:55:12,27144116,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 02:55:12,37900706,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 03:25:12,25223232,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 03:25:12,36013424,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 03:55:12,22659649.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 03:55:12,34210328,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 04:25:12,22006425.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 04:25:12,34770601.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 04:55:12,22141862.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 04:55:12,32202366,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 05:25:12,22716535.333333332,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 05:25:12,33915166.666666664,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 05:55:12,20951225.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 05:55:12,33794412.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 06:25:12,20844576.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 06:25:12,31533370.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 06:55:12,19799354.666666668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 06:55:12,29614272.666666668,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 07:25:12,19792683.5,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 07:25:12,36575622.5,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 07:55:12,23460058,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 07:55:12,70884073.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 08:25:12,49224120,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 08:25:12,137750874.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 08:55:12,39790439,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 08:55:12,119410860,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 09:25:12,40076644,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 09:25:12,123526674.66666667,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 09:55:12,103299286.66666667,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 09:55:12,119542229.33333333,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 10:25:12,47813668,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 10:25:12,137520980,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 10:55:12,45140858.666666664,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 10:55:12,138677866.66666666,,
"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Receive bps (bps)",2023-09-29 11:25:12,52297529.333333336,,"TenGigabitEthernet10/0/1 · TO HA-INT-FWA","Average Transmit bps (bps)",2023-09-29 11:25:12,179718282.66666666,,
